doctor_code,doctor_name,doctor_speciality
1,Dr. Thomas Anderson,Critical Care
2,Dr. Lisa Anderson,Emergency Medicine
3,Dr. William Harris,Emergency Medicine
4,Dr. Christopher Lee,Pediatric Emergency
5,Dr. Elizabeth Martinez,Trauma Surgery
6,Dr. James Taylor,Trauma Surgery
7,Dr. Patricia Moore,Emergency Medicine
8,Dr. John Smith,Emergency Medicine
9,Dr. David Wilson,Pediatric Emergency
10,Dr. Sarah Johnson,Trauma Surgery
11,Dr. Michael Chen,Critical Care
12,Dr. Maria Garcia,Critical Care
13,Dr. Robert Lee,Emergency Medicine
14,Dr. Jennifer White,Pediatric Emergency
15,Dr. Emily Brown,Emergency Medicine
